2017-11-08 18:21:17,279 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-09 18:50:46,328 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-13 20:22:50,414 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-14 16:09:10,878 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-15 16:59:29,152 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-15 17:11:33,704 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-15 17:33:34,355 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1336318ms
2017-11-15 17:33:35,603 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-11-15 17:33:35,697 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@516aff63{/help,null,AVAILABLE}
2017-11-15 17:33:35,791 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@6a9fbf08{HTTP/1.1,[http/1.1]}{127.0.0.1:49542}
2017-11-15 17:33:35,791 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1337767ms
2017-11-15 17:46:53,228 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@6a9fbf08{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-11-15 17:46:53,259 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@516aff63{/help,null,UNAVAILABLE}
2017-11-15 20:05:58,110 [Worker-71] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-16 19:32:02,673 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-20 15:59:56,808 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
